S/No,Hausa,Polarity,English
7942,mafi kyawun yaro,positive,the best boy
7943,mafi mahimmanci,positive,the most important
7944,mafi muni,negative,the worst
7945,mafi muni duka,negative,worst of all
7946,mafi munin abu,negative,the worst thing
7947,mafi rauni,neutral,the weakest
7948,mafi rikitarwa,neutral,the most complicated
7949,mafi rinjaye,neutral,a majority
7950,mafi sauki daga cikinsu,positive,the easiest of them
7951,mafi so,positive,the favorite
7952,mafi swankiest,negative,the swankiest
7953,mafi talauci,negative,the poorest
7954,mafi tashin hankali,negative,the most violent
7955,mafi tsaftar ciki,positive,the cleanest of the inside
7956,mafi tsanani,negative,the toughest
7957,mafi wayo daga cikin kuri'a,neutral,the smartest of the lot
7958,mafi zafi,positive,the hottest
7959,mafi zalunci,negative,the most cruel
7960,magabata mai kyau,positive,good predecessor
7961,magajin gari mai kirki,positive,a kind mayor
7962,magajin gari ne,neutral,the mayor is
7963,magajin gari ne ke da iko,neutral,the mayor is in charge
7964,magana a tsare,neutral,talk in custody
7965,magana ce,neutral,it was a pep talk
7966,magana ce bayyananne,positive,it is a clear statement
7967,magana ce mai gamsarwa,positive,it is a satisfying statement
7968,magana da yawa,positive,too much talk
7969,magana mai kaifi,negative,sharp speech
7970,magana mara amfani,negative,useless talk
7971,magana sosai,neutral,strictly speaking
7972,magana tsana,negative,speak chastise
7973,maganar murna ce,neutral,it was an expression of exultation
7974,maganar sabo,negative,speaking of blasphemy
7975,maganar yaro,negative,a childish speech
7976,magani ce,neutral,remedy
7977,magani da makamantansu,neutral,cure and the like
7978,magani daga gudawa,neutral,relief from diarrhea
7979,magani mai inganci,positive,effective medicine
7980,magani mai karfi na baka,positive,strong oral solution
7981,magani mai kona fata ko rauni,neutral,a medicine that burns the skin or wound
7982,magani mai kyau,positive,good medicine
7983,magani ne,neutral,it is treatment
7984,magani ne ga kunnuwa,neutral,it is a treat for the ears
7985,magani wuri guda,neutral,cure in one place
7986,maganin dabbobi zalunci ne,negative,the treatment of animals is cruel
7987,maganin dadi,positive,a sweet treat
7988,maganin kanjamau,neutral,the hiv medicine
7989,maganin ku,neutral,your medicine
7990,maganin mu,neutral,our medicine
7991,maganin rigakafi,positive,antibiotic treatment
7992,maganin su,neutral,their medicine
7993,maganin ta,neutral,her medicine
7994,mage ba shi da kyau,negative,mage is not good
7995,maginin daraja,positive,a noble builder
7996,maginin fara'a,positive,a cheerful builder
7997,maginin gaskiya,positive,an honest builder
7998,maginin hakuri,neutral,a patient builder
7999,maginin hikima,positive,a wise builder
8000,magoya bayan mu,neutral,our supporters
8001,magudanar ruwa,negative,the drain
8002,magudanar ruwa mai kyau,positive,good drainage
8003,maguzawa masu farin ciki,positive,happy pagans
8004,maguzawa sosai,positive,pagan
8005,mahadar tana nan,neutral,the link is here
8006,mahaifa mara kyau,negative,bad parents
8007,mahaifiyar mace ce,neutral,the mother is a woman
8008,mahaifiyata bata da lafiya,negative,my mother is sick
8009,maharin dan daba,negative,a thug attacker
8010,mahaukaci kamar haka,negative,crazy like that
8011,mahaukaci kare,negative,mad dog
8012,mahaukaci yaro,negative,crazy kid
8013,mahaukacin akuya ne,negative,he is a crazy goat
8014,mahaukacin alade ne,negative,it is a crazy pig
8015,mahaukacin dabbar hauka,negative,crazy animal madness
8016,mahaukacin dan dako,negative,the crazy porter
8017,mahaukacin dan dambe ne,negative,he is a crazy boxer
8018,mahaukacin dan damfara ne,negative,he is a crazy swindler
8019,mahaukacin dattijo,negative,crazy old man
8020,mahaukacin giwa ne,negative,he is a mad elephant
8021,mahaukacin hafsa ne,negative,he is a mad officer
8022,mahaukacin italiyanci,negative,crazy italians
8023,mahaukacin jama'a,negative,public madness
8024,mahaukacin jami'in kwastam,negative,crazy customs officer
8025,mahaukacin jami'in shige da fice,negative,crazy immigration officer
8026,mahaukacin jami'in tsaro,negative,the crazy security guard
8027,mahaukacin kare,negative,crazy dog
8028,mahaukacin ma'aikaci ne,negative,he is a crazy worker
8029,mahaukacin mace,negative,madness of a woman
8030,mahaukacin mahaukaci,negative,the madness of a mad man
8031,mahaukacin malami ne,negative,he is a mad teacher
8032,mahaukacin manomi ne,negative,he is a crazy farmer
8033,mahaukacin rago,negative,crazy lamb
8034,mahaukacin rago ne,negative,it is a crazy lamb
8035,mahaukacin shugaba ne,negative,he is a crazy boss
8036,mahaukacin tsoho,negative,crazy old man
8037,mahaukacin yarinya,negative,madness of a girl
8038,mahaukacin yaro,negative,crazy boy
8039,mahaukacin zaki ne,negative,he is a mad lion
8040,mahaukacine shi,negative,he is a madman
8041,mahaukaciyar amarya,negative,crazy bride
8042,mahaukaciyar dabba ce,negative,it is a crazy animal
8043,mahaukaciyar fushi,negative,crazy angry
8044,mahaukaciyar kura,negative,crazy dust
8045,mahaukaciyar mace,negative,crazy woman
8046,mahaukaciyar saniya,negative,mad cow
8047,mahaukaciyar tsohuwa,negative,crazy old lady
8048,mahaukaciyar yanayi,negative,crazy weather
8049,mahaukata biyu,negative,two crazy people
8050,mahaukata shanu,negative,mad cows
8051,mahaukatan amurkawa,negative,crazy americans
8052,mahaukatan mata,negative,crazy women
8053,mahayi mai kyau,positive,good rider
8054,mahayin barkwanci,neutral,a jovial rider
8055,mai adawa,negative,the dissident
8056,mai adawa da amurka,negative,an anti-american
8057,mai aikawa ne,neutral,it is a sender
8058,mai aiki,neutral,an operator
8059,mai aiki da farin ciki,positive,busy and happy
8060,mai aiki da wawa,negative,busy and stupid
8061,mai aiki sosai,positive,very active
8062,mai aiki tukuru,negative,a hard worker
8063,mai aikin kafinta,neutral,a handyman carpenter
8064,mai aikin kafinta lafiya,positive,a healthy carpenter
8065,mai aiwatar da wulakanci,negative,a disgraceful executor
8066,mai alfahari,negative,the bragger
8067,mai amfana,positive,the beneficiary
8068,mai amfani,neutral,a user
8069,mai amfani da rediyo ne,neutral,it is a radio utility
8070,mai amfani sosai,positive,very useful
8071,mai amfani ya san illar,negative,the user knows the harm
8072,mai aminci,positive,a faithful one
8073,mai annashuwa,positive,very relaxing
8074,mai arziki,positive,rich
8075,mai arziki ne,positive,he is rich
8076,mai azabtarwa,neutral,punisher
8077,mai ba da gudummawa,neutral,a contributor
8078,mai ba da labari mai kyau,positive,a good storyteller
8079,mai ba da shawara,neutral,a counselor
8080,mai bajinta,positive,the warior
8081,mai bajinta sosai,positive,the best warior
8082,mai bakin ciki,negative,miserable
8083,mai bakin ciki ci gaba,negative,"the sad one, move on"
8084,mai ban dariya,positive,very funny
8085,mai ban haushi,negative,the grumpy one
8086,mai ban mamaki,positive,strikingly tenacious
8087,mai ban mamaki feisty,negative,strikingly feisty
8088,mai ban mamaki na sarauta,positive,strikingly regal
8089,mai ban sha'awa,positive,the adventurous
8090,mai ban sha'awa sosai,positive,very impressive
8091,mai ban tsoro,negative,the cynical
8092,mai barazana ga rayuwa,negative,life-threatening
8093,mai barna,negative,a spoiler
8094,mai batsa,negative,a blabber
8095,mai bauta mai farin ciki,positive,a happy worshiper
8096,mai bayarwa,neutral,the provider
8097,mai bayyanawa sosai,neutral,very revealing
8098,mai bege,positive,the hopeful
8099,mai bincike,neutral,an investigator
8100,mai binciken,neutral,the investigator
8101,mai binciken mutum ne,neutral,the researcher is a person
8102,mai bita ne,neutral,it is a reviewer
8103,mai biyan haraji,neutral,a taxpayer
8104,mai bugawa,neutral,the publisher
8105,mai canzawa,neutral,immutable
8106,mai canzawa ne,neutral,it is a variable
8107,mai ceto,positive,the savior
8108,mai ceton rai ne,positive,it is a lifesaver
8109,mai ci gaba,neutral,the progressive
8110,mai cin amana,negative,the betrayer
8111,mai cin amana mutum ne,negative,the betrayer was a person
8112,mai cin gajiyarsa,neutral,its beneficiary
8113,mai ciwon daji,negative,a cancer patient
8114,mai cutarwa,negative,harmful
8115,mai dadi,positive,a pleasant one
8116,mai dadi kammalawa,positive,sweet completion
8117,mai dadi sosai,positive,very sweet
8118,mai daidaitawa,neutral,adaptable
8119,mai dalili kawai,positive,only reasonable
8120,mai daukar fansa,negative,the avenger
8121,mai daukar hoto,neutral,the photographer
8122,mai daukar ido,neutral,an eye-catcher
8123,mai daukar kaya,neutral,a carrier
8124,mai daukar kaya da yawa,negative,a multi-carrier
8125,mai daukar sauti,positive,a sound carrier
8126,mai dauke hankali,negative,a mind lifter
8127,mai dinki,neutral,a seamstress
8128,mai duhu,negative,the dark one
8129,mai fada,negative,fighter
8130,mai fada ne,neutral,he is a fighter
8131,mai fadakarwa,positive,an alarmist
8132,mai fafatawa,neutral,the competitor
8133,mai fafutuka,neutral,the activist
8134,mai fara'a,positive,a cheerful
8135,mai fara'a dinki,positive,a cheerful seamstress
8136,mai fara'a sosai,positive,very cheerful
8137,mai farautar makamai,neutral,a hunter of weapons
8138,mai farfadiya,negative,an epileptic
8139,mai farin ciki da yara,positive,happy with children
8140,mai farin ciki walda,positive,a happy welder
8141,mai fasa kwauri,negative,a smuggler
8142,mai fasaha mai hikima,positive,a wise artist
8143,mai fenti,neutral,the painter
8144,mai fenti abin dogaro,positive,a reliable painter
8145,mai fenti mai karfi,positive,a strong painter
8146,mai fita sosai,positive,very outgoing
8147,mai fyade,negative,a rapist
8148,mai gadi,neutral,a guard
8149,mai gadi yana can,neutral,the guard is there
8150,mai gafara ne mai gafara,neutral,the apologist is an apologist
8151,mai gamsarwa sosai,positive,very convincing
8152,mai gefe daya,neutral,one-sided
8153,mai gida ne ya yi shi,neutral,it was done by the owner
8154,mai gine-gine,neutral,an architect
8155,mai gini kyauta,positive,a free builder
8156,mai gini mai taimako,neutral,a helpful builder
8157,mai gini mai tausayi,neutral,a compassionate builder
8158,mai gini na tsari,neutral,a systematic builder
8159,mai gini ne mai dadi,positive,it is a fun builder
8160,mai ginin gine-gine,neutral,the architect
8161,mai girma,neutral,bulk
8162,mai girma dan kasa,neutral,honorable citizen
8163,mai girma shugaban kasa,neutral,honorable president
8164,mai girma sosai,positive,very great
8165,mai girman kai,negative,the arrogant one
8166,mai guba,negative,poisonous
8167,mai gudu,neutral,the fleer
8168,mai gwagwarmaya mutum ne,neutral,the fighter is a person
8169,mai gwanjo mai hakuri,positive,a patient auctioneer
8170,mai gwanjo mai hankali,positive,an intelligent auctioneer
8171,mai gyara gyara,positive,a wise reformer
8172,mai gyaran waya mai kyau,positive,good phone repairman
8173,mai hakuri,neutral,a patient
8174,mai hakuri wata,neutral,patient moon
8175,mai halakarwa,negative,a destroyer
8176,mai hallakarwa,neutral,destroyer
8177,mai hana ruwa ruwa,neutral,waterproof
8178,mai hangen nesa,positive,the visionary
8179,mai hankali,positive,intelligent
8180,mai hankali sosai,positive,very intelligent
8181,mai hasashe,neutral,speculator
8182,mai haske mai haske,positive,glowingly bright
8183,mai haske sosai,positive,very bright
8184,mai hatsari,negative,dangerous
8185,mai hayaniya,negative,the clamorous
8186,mai hazaka,positive,the audacious
8187,mai hazaka ne,positive,he is a genius
8188,mai hazaka sosai,positive,very talented
8189,mai ibada ce,positive,she is a devotee
8190,mai ibada mai wayo,positive,a clever worshiper
8191,mai iko,negative,the authoritative
8192,mai inganci,positive,an efficient one
8193,mai iskoki,neutral,the owner of the winds
8194,mai iya aiki,positive,able to work
8195,mai iya magana,positive,able to talk
8196,mai iya zama mai iyawa,positive,capable of being capable
8197,mai iyo yana iyo,neutral,the float is floating
8198,mai jan hankali,positive,attractive
8199,mai jan hankali mai karfi,positive,a strong attractor
8200,mai jarabawa ne,neutral,he is a test taker
8201,mai jayayya,neutral,argumentative
8202,mai jefa kuri'a,neutral,the voter
8203,mai jefa kuri'a mai zabe ne,neutral,the voter is a voter
8204,mai jimamin mutuwa,neutral,the mourner of death
8205,mai jini,negative,bloody
8206,mai kaifin basira,positive,a smart comer
8207,mai kallo,neutral,the viewer
8208,mai kallo mai kallo ne,neutral,the viewer is a viewer
8209,mai kallo mutum ne,neutral,the viewer is a person
8210,mai kallo yana kallo,neutral,the observer is watching
8211,mai kallo yana nan,neutral,the observer is present
8212,mai kallon jaraba,neutral,an addictive viewer
8213,mai kamshi,positive,smelly
8214,mai kamuwa da cuta,negative,infectious
8215,mai kara kuzari,neutral,a stimulant
8216,mai kara lafiya,positive,a healthy plaintiff
8217,mai karatu,neutral,a reader
8218,mai karatu mai karatu ne,neutral,the reader is a reader
8219,mai karatu mutum ne,neutral,the reader is a person
8220,mai kare mutum ne,neutral,the defender is a person
8221,mai karfi,positive,strong
8222,mai karfi sosai,positive,very punchy
8223,mai karfi tela,positive,a strong tailor
8224,mai karimci ne,neutral,he is generous
8225,mai karimci sosai,positive,very generous
8226,mai karya doka,negative,violator of the law
8227,mai kashe gobara,positive,the fireman
8228,mai kawo gyara,positive,a reformer
8229,mai kazafi,negative,a slanderer
8230,mai kirkira,positive,an inventor
8231,mai kisa,negative,killer
8232,mai kisa ne,negative,killer
8233,mai kisan kai mutum ne,neutral,the assassin is a person
8234,mai kishi,negative,jealous
8235,mai kitse,neutral,the fat one
8236,mai kitse ne,negative,it's a fat one
8237,mai kiyayya ne,negative,the hater is a hater
8238,mai koyarwa,neutral,an instructor
8239,mai kudi mai fara'a,positive,a cheerful financier
8240,mai kula da hankali,positive,a smart caretaker
8241,mai kula da jarrabawa,neutral,examination supervisor
8242,mai kula da taimako,neutral,helpful caretaker
8243,mai kumburi,neutral,inflammatory
8244,mai kunnawa dan wasa ne,neutral,the player is a player
8245,mai kuskure yana da aibi,negative,the flawed is flawed
8246,mai kuzari sosai,positive,very energetic
8247,mai kwadayi,negative,the greedy
8248,mai kyakkyawan fata,neutral,optimistic
8249,mai kyau,positive,good
8250,mai kyauta,positive,a freebie
8251,mai kyautatawa mutum ne,neutral,the benefactor is a person
8252,mai lafiya tela,positive,a healthy tailor
8253,mai lafiya tulu,positive,a safe pitcher
8254,mai laifi,negative,a criminal
8255,mai laifi ne,negative,criminal
8256,mai laifin yana da alhakin,negative,the culprit is responsible
8257,mai lalata,negative,the debaucher
8258,mai lalata ce,negative,it is despoiler
8259,mai lamba,neutral,may lamp
8260,mai lankwasa,neutral,curved
8261,mai laushi,neutral,smoother
8262,mai laushi da kaifi,negative,soft and sharp
8263,mai madara mai gaskiya,positive,an honest milkman
8264,mai magana,neutral,the speaker
8265,mai magana shine mai magana,neutral,the speaker is a speaker
